Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	TorqueEst. 	I           	I_q         	I_d         	Power   	Torque_SP	Measured RPM 	TorqueEst.\s	I           	I_q         	I_d         	Power   	Torque_Ref	Energy_Speed	Energy_Torque
0.000000	93.790150	93.784325	13.788784	3.578583	0.165675	1.159726	-0.165675	0.035135	-0.214133	93.641273	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	4.637068	0.000008
0.000000	93.790150	93.784325	13.788784	4.473228	0.165675	1.242563	-0.248513	0.035146	-0.214133	93.927376	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	4.672214	0.000008
0.000000	93.790150	93.812935	13.792990	3.578583	0.165675	0.994051	-0.165675	0.040953	-0.214133	93.727104	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	4.713167	0.000008
0.000000	93.790150	93.784325	13.788784	3.876798	0.165675	1.076888	-0.165675	0.043878	75.631692	93.927376	-0.000019	0.082838	-0.000019	-0.082838	0.000000	75.518601	4.757045	0.000008
0.000000	93.790150	93.755714	13.784577	4.175014	0.165675	1.159726	-0.248513	0.035146	132.762313	93.727104	0.000000	0.082838	0.000000	0.000000	0.000000	132.462065	4.792190	0.000008
0.000000	93.790150	93.784325	13.788784	4.175014	0.165675	1.076888	-0.165675	0.038063	132.762313	93.784325	-0.000019	0.082838	-0.000019	-0.082838	0.000000	132.462065	4.830253	0.000009
0.000000	93.790150	93.755714	13.784577	4.175014	0.165675	1.159726	-0.248513	0.043932	132.762313	93.784325	-0.000019	0.082838	-0.000019	-0.082838	0.000000	132.462065	4.874185	0.000009
0.000000	93.790150	93.784325	13.788784	4.473228	0.165675	1.076888	-0.248513	0.043878	207.280514	93.727104	-0.000019	0.082838	0.000000	-0.165675	0.000000	207.067145	4.918063	0.000009
0.000000	93.790150	93.669884	13.771958	4.473228	0.248513	1.491076	-0.248513	0.032295	207.280514	93.870155	-0.000019	0.082838	-0.000019	-0.082838	0.000000	207.067145	4.950358	0.000009
0.000000	93.790150	93.727104	13.780371	3.578583	0.165675	0.828376	-0.165675	0.046761	207.280514	93.812935	-0.000019	0.000000	-0.000019	-0.082838	0.000000	207.067145	4.997118	0.000010
0.000000	93.790150	93.812935	13.792990	4.175014	0.165675	1.325401	-0.248513	0.038132	207.280514	93.841545	-0.000019	0.082838	0.000000	-0.082838	0.000000	207.067145	5.035251	0.000010
0.000000	93.790150	93.784325	13.788784	4.473228	0.165675	0.994051	-0.165675	0.040928	207.280514	93.784325	-0.000019	0.082838	-0.000019	-0.082838	0.000000	207.067145	5.076179	0.000010
0.000000	93.790150	93.784325	13.788784	3.876798	0.165675	1.076888	-0.165675	0.040978	138.972163	93.898766	-0.000019	0.082838	-0.000019	-0.082838	0.000000	138.856785	5.117157	0.000010
0.000000	93.790150	93.784325	13.788784	3.578583	0.165675	1.159726	-0.248513	0.046846	2.355460	93.812935	-0.000019	0.082838	-0.000019	-0.082838	0.000000	2.131573	5.164003	0.000010
0.000000	93.790150	93.812935	13.792990	3.876798	0.165675	1.076888	-0.248513	0.038016	2.355460	93.784325	-0.000019	0.082838	-0.000019	-0.082838	0.000000	2.131573	5.202019	0.000011
0.000000	93.790150	93.755714	13.784577	3.876798	0.165675	1.242563	-0.165675	0.043959	2.355460	93.870155	-0.000019	0.082838	0.000000	0.000000	0.000000	2.131573	5.245978	0.000011
0.000000	93.790150	93.727104	13.780371	3.876798	0.165675	1.325401	-0.248513	0.035210	2.355460	93.641273	-0.000019	0.082838	-0.000019	-0.082838	0.000000	2.131573	5.281188	0.000011
0.000000	93.790150	93.784325	13.788784	3.280368	0.165675	0.911213	-0.165675	0.037981	2.355460	93.984596	0.000000	0.082838	0.000000	-0.082838	0.000000	2.131573	5.319169	0.000011
0.000000	93.790150	93.727104	13.780371	5.069659	0.248513	1.076888	-0.165675	0.038144	2.355460	93.669884	-0.000019	0.082838	-0.000019	-0.082838	0.000000	2.131573	5.357313	0.000011
0.000000	93.790150	93.812935	13.792990	3.578583	0.165675	1.076888	-0.248513	0.037981	2.355460	93.812935	-0.000019	0.082838	-0.000019	-0.082838	0.000000	2.131573	5.395295	0.000011
0.000000	93.790150	93.755714	13.784577	4.473228	0.165675	1.076888	-0.165675	0.038098	2.355460	93.727104	-0.000019	0.082838	-0.000037	-0.165675	0.000000	2.131573	5.433392	0.000012
0.000000	93.790150	93.812935	13.792990	4.473228	0.165675	0.911213	-0.165675	0.040903	2.355460	93.841545	-0.000019	0.082838	-0.000019	-0.165675	0.000000	2.131573	5.474295	0.000012
0.000000	93.790150	93.727104	13.780371	3.876798	0.165675	1.325401	-0.165675	0.046846	2.355460	93.841545	-0.000019	0.082838	-0.000019	-0.082838	0.000000	2.131573	5.521142	0.000012
0.000000	93.790150	93.812935	13.792990	3.280368	0.165675	0.911213	-0.165675	0.040903	2.355460	93.784325	-0.000019	0.082838	-0.000019	-0.082838	0.000000	2.131573	5.562045	0.000012
0.000000	93.790150	93.727104	13.780371	4.175014	0.165675	1.242563	-0.248513	0.043959	352.591006	93.898766	-0.000019	0.082838	-0.000019	-0.082838	0.000000	352.318632	5.606003	0.000013
0.000000	93.790150	93.784325	13.788784	3.876798	0.082838	1.159726	-0.165675	0.041003	509.079229	93.698494	-0.000019	0.082838	-0.000019	-0.082838	0.000000	508.837033	5.647007	0.000013
0.000000	93.790150	93.784325	13.788784	3.876798	0.165675	1.159726	-0.248513	0.040966	550.064240	93.870155	-0.000019	0.082838	-0.000019	-0.165675	0.000000	549.945960	5.687972	0.000013
0.000000	93.790150	93.812935	13.792990	3.578583	0.082838	1.076888	-0.165675	0.043918	550.064240	93.755714	-0.000019	0.082838	-0.000019	-0.082838	0.000000	549.945960	5.731891	0.000013
0.000000	93.790150	93.784325	13.788784	4.175014	0.082838	1.159726	-0.165675	0.043932	550.064240	93.870155	-0.000019	0.082838	-0.000019	-0.082838	0.000000	549.945960	5.775823	0.000014
0.000000	93.790150	93.755714	13.784577	4.473228	0.165675	1.159726	-0.165675	0.038063	550.064240	93.784325	-0.000037	0.082838	-0.000019	-0.082838	0.000000	549.945960	5.813885	0.000014
0.000000	93.790150	93.755714	13.784577	3.578583	0.165675	1.242563	-0.248513	0.043959	550.064240	93.669884	-0.000019	0.082838	-0.000019	-0.082838	0.000000	549.945960	5.857844	0.000014
0.000000	93.790150	93.755714	13.784577	4.175014	0.082838	1.159726	-0.248513	0.038074	550.064240	93.870155	-0.000019	0.082838	0.000000	-0.082838	0.000000	549.945960	5.895918	0.000014
0.000000	93.790150	93.727104	13.780371	4.473228	0.165675	1.242563	-0.165675	0.035167	550.064240	93.669884	-0.000019	0.082838	-0.000019	-0.082838	0.000000	549.945960	5.931085	0.000014
0.000000	93.790150	93.812935	13.792990	4.175014	0.165675	1.076888	-0.165675	0.038039	560.000000	93.955986	-0.000019	0.000000	-0.000019	-0.082838	0.000000	559.994792	5.969125	0.000014
0.000000	93.790150	93.784325	13.788784	4.175014	0.165675	1.159726	-0.248513	0.038074	560.000000	93.669884	-0.000019	0.082838	-0.000019	-0.082838	0.000000	559.994792	6.007199	0.000015
0.000000	93.790150	93.755714	13.784577	4.175014	0.165675	1.159726	-0.248513	0.041003	560.000000	93.841545	-0.000019	0.082838	-0.000019	-0.082838	0.000000	559.994792	6.048203	0.000015
0.000000	93.790150	93.755714	13.784577	4.473228	0.165675	1.159726	-0.248513	0.035135	106.680942	93.755714	-0.000019	0.082838	-0.000019	-0.082838	0.000000	106.578670	6.083337	0.000015
0.000000	93.790150	93.784325	13.788784	3.876798	0.165675	1.159726	-0.165675	0.043945	-2.612420	93.727104	-0.000019	0.082838	-0.000019	-0.082838	0.000000	-2.436084	6.127283	0.000015
0.000000	93.790150	93.812935	13.792990	3.876798	0.165675	1.076888	-0.165675	0.038028	-2.612420	93.870155	-0.000019	0.082838	-0.000019	-0.082838	0.000000	-2.436084	6.165310	0.000015
0.000000	93.790150	93.727104	13.780371	4.175014	0.165675	1.159726	-0.165675	0.041066	-0.128480	93.641273	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	6.206376	0.000016
0.000000	93.790150	93.784325	13.788784	4.771444	0.165675	0.994051	-0.248513	0.035178	-0.128480	93.984596	-0.000019	0.082838	0.000000	0.000000	0.000000	0.000000	6.241554	0.000016
0.000000	93.790150	93.755714	13.784577	4.771444	0.165675	1.325401	-0.248513	0.038121	-0.128480	93.669884	0.000000	0.082838	0.000000	-0.082838	0.000000	0.000000	6.279675	0.000016
0.000000	93.790150	93.755714	13.784577	4.771444	0.165675	1.076888	-0.165675	0.035113	-0.128480	93.955986	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	6.314788	0.000016
0.000000	93.790150	93.841545	13.797197	2.385722	0.165675	0.662701	-0.165675	0.040828	-0.128480	93.812935	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	6.355616	0.000016
0.000000	93.790150	93.669884	13.771958	5.666090	0.165675	1.076888	-0.165675	0.032168	-0.128480	93.841545	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	6.387783	0.000016
0.000000	93.790150	93.812935	13.792990	3.876798	0.165675	0.911213	-0.165675	0.046761	-0.128480	93.841545	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	6.434544	0.000016
0.000000	93.790150	93.755714	13.784577	4.473228	0.082838	1.076888	-0.248513	0.038039	-0.128480	93.727104	-0.000019	0.082838	-0.000037	-0.165675	0.000000	0.000000	6.472583	0.000017
0.000000	93.790150	93.755714	13.784577	4.473228	0.165675	1.159726	-0.248513	0.040978	-0.128480	93.955986	-0.000019	0.082838	0.000019	-0.082838	0.000000	0.000000	6.513561	0.000017
0.000000	93.790150	93.755714	13.784577	4.175014	0.165675	1.159726	-0.165675	0.041016	-0.128480	93.727104	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	6.554577	0.000017
0.000000	93.790150	93.784325	13.788784	3.876798	0.165675	1.159726	-0.165675	0.040978	-0.128480	93.898766	-0.000019	0.082838	-0.000037	-0.165675	0.000000	0.000000	6.595555	0.000017
0.000000	93.790150	93.784325	13.788784	4.175014	0.165675	1.159726	-0.165675	0.040991	-0.128480	93.727104	-0.000037	0.082838	-0.000019	-0.082838	0.000000	0.000000	6.636546	0.000018
0.000000	93.790150	93.784325	13.788784	4.175014	0.165675	1.159726	-0.248513	0.043918	-0.128480	93.841545	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	6.680464	0.000018
0.000000	-2.141328	91.266624	13.418615	-68.589508	3.810528	-87.973495	0.082838	-0.979188	-0.128480	93.355171	-0.000019	0.082838	-0.000019	-0.082838	-0.000000	0.000000	5.701276	0.000018
0.000000	9.850107	-9.412765	-1.383926	117.795021	29.490173	32.720840	-0.248513	-0.065674	-0.128480	-6.208419	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	5.635602	0.000018
0.000000	-2.141328	12.331008	1.812985	-39.364410	11.845772	-11.597260	-0.248513	-0.031955	-0.128480	5.292892	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	5.603647	0.000018
0.000000	6.852248	-2.975464	-0.437472	21.769712	5.467279	6.047143	-0.165675	0.041664	-0.128480	-3.633499	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	5.645311	0.000018
0.000000	3.854390	7.238388	1.064235	20.576851	5.467279	-6.295655	-0.248513	0.003498	-0.128480	8.525847	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	5.648809	0.000018
0.000000	3.854390	3.175735	0.466917	-7.157166	3.313503	4.059041	-0.165675	0.004115	-0.128480	2.632141	-0.000019	0.082838	0.000000	0.000000	0.000000	0.000000	5.652925	0.000018
0.000000	3.854390	3.232956	0.475330	6.560735	1.408239	1.822426	-0.248513	-0.002506	-0.128480	3.948211	-0.000019	0.000000	0.000000	0.000000	0.000000	0.000000	5.650418	0.000018
0.000000	3.854390	4.348754	0.639382	-5.069659	0.579863	-0.331350	-0.165675	0.003538	-0.128480	3.633499	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	5.653956	0.000018
0.000000	3.854390	3.547668	0.521601	7.753596	0.497025	0.579863	-0.165675	-0.001556	-0.128480	3.461838	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	5.652400	0.000018
0.000000	3.854390	4.234313	0.622556	-5.069659	0.414188	0.911213	-0.165675	0.004101	-0.128480	4.234313	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	5.656501	0.000018
0.000000	3.854390	3.232956	0.475330	4.771444	0.745538	2.236614	-0.165675	-0.002332	-0.128480	3.805160	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	5.654169	0.000018
0.000000	3.854390	3.747940	0.551047	-0.894646	0.331350	-0.414188	-0.165675	-0.000469	-0.128480	4.262924	-0.000019	0.000000	-0.000019	-0.082838	0.000000	0.000000	5.653700	0.000018
0.000000	3.854390	3.776550	0.555253	6.262520	0.331350	1.739589	-0.165675	0.002214	-0.128480	3.376007	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	5.655914	0.000018
0.000000	3.854390	4.034042	0.593111	3.876798	0.165675	-0.745538	-0.165675	0.000686	-0.128480	3.948211	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	5.656600	0.000018
0.000000	3.854390	4.234313	0.622556	-1.789291	0.248513	-0.331350	-0.248513	0.001944	-0.128480	3.833771	-0.000019	0.000000	-0.000019	0.000000	0.000000	0.000000	5.658544	0.000018
