453	0.0 	0.0	0.00
454	0.0 	0.0	0.00
455	0.0 	0.0	0.00
456	0.0 	0.0	0.00
457	0.0 	0.0	0.00
458	0.0 	0.0	0.00
459	0.0 	0.0	0.00
460	0.0 	0.0	0.00
461	0.0 	0.0	0.00
462	0.0 	0.0	0.00
463	0.0 	0.0	0.00
464	0.0 	0.0	0.00
465	0.0 	0.0	0.00
466	0.0 	0.0	0.00
467	0.0 	0.0	0.00
468	0.0 	0.0	0.00
469	0.0 	0.0	0.00
470	0.0 	0.0	0.00
471	0.0 	0.0	0.00
472	0.0 	0.0	0.00
473	0.0 	0.0	0.00
474	0.0 	0.0	0.00
475	0.0 	0.0	0.00
476	0.0 	0.0	0.00
477	0.0 	0.0	0.00
478	0.0 	0.0	0.00
479	0.0 	0.0	0.00
480	0.0 	0.0	0.00
481	0.0 	0.0	0.00
482	0.0 	0.0	0.00
483	0.0 	0.0	0.00
484	0.0 	0.0	0.00
485	0.0 	0.0	0.00
486	0.0 	0.0	0.00
487	0.0 	0.0	0.00
488	0.0 	0.0	0.00
489	0.0 	0.0	0.00
490	0.0 	0.0	0.00
491	0.0 	0.0	0.00
492	0.0 	0.0	0.00
493	0.0 	0.0	0.00
494	0.0 	0.0	0.00
495	0.0 	0.0	0.00
496	0.0 	0.0	0.00
497	0.0 	0.0	0.00
498	0.0 	0.0	0.00
499	0.0 	0.0	0.00
500	0.0 	0.0	0.00
501	0.0 	0.0	0.00
502	0.0 	0.0	0.00
503	0.0 	0.0	0.00
504	0.0 	0.0	0.00
505	0.0 	0.0	0.00
506	0.0 	0.0	0.00
507	0.0 	0.0	0.00
508	0.0 	0.0	0.00
509	0.0 	0.0	0.00
510	0.0 	0.0	0.00
511	0.0 	0.0	0.00
512	0.5 	5.3	0.17
513	2.5 	26.5	0.83
514	6.6 	70.0	2.20
515	11.8 	125.2	3.93
516	16.8 	178.3	5.60
517	20.5 	217.5	6.83
518	21.9 	232.4	7.30
519	21.9 	232.4	7.30
520	21.3 	226.0	7.10
521	20.3 	215.4	6.77
522	19.2 	203.7	6.40
523	17.8 	188.9	5.93
524	15.5 	164.5	5.17
525	11.9 	126.3	3.97
526	7.6 	80.6	2.53
527	4.0 	42.4	1.33
528	2.0 	21.2	0.67
529	1.0 	10.6	0.33
530	0.0 	0.0	0.00
531	0.0 	0.0	0.00
532	0.0 	0.0	0.00
